,GDP Growth (%),Inflation Rate (%),Unemployment Rate (%)
1948-01-01,6.2,1.1533532678342562,3.4
1948-04-01,6.8,1.3617021276595809,3.9
1948-07-01,2.3,1.0351966873705987,3.6
1948-10-01,0.5,-0.20525451559935126,3.7
1949-01-01,-5.4,-0.16632016632016633,4.3
1949-04-01,-1.4,0.04182350480970154,5.3
1949-07-01,4.2,-0.9197324414715768,6.7
1949-10-01,-3.3,-0.3368421052631465,7.9
1950-01-01,16.7,-0.42354934349850826,6.5
1950-04-01,12.7,0.04230118443315778,5.8
1950-07-01,16.4,0.7956448911222935,5.0
1950-10-01,7.9,0.6573541495480617,4.2
1951-01-01,5.5,1.601281024819845,3.7
1951-04-01,7.1,0.15455950540959051,3.1
1951-07-01,8.5,-0.07713073659852965,3.1
1951-10-01,0.9,0.49942374183633564,3.5
1952-01-01,4.3,-0.0755572346052169,3.2
1952-04-01,0.8,0.2652519893899141,2.9
1952-07-01,2.9,0.5653976630229929,3.2
1952-10-01,13.8,0.22530980097634767,3.0
1953-01-01,7.7,-0.2620741295395024,2.9
1953-04-01,3.1,0.22530980097634767,2.7
1953-07-01,-2.2,0.07471049682479247,2.6
1953-10-01,-5.9,0.2231312755671233,3.1
1954-01-01,-1.9,0.2605135839225836,4.9
1954-04-01,0.4,-0.25993316004455647,5.9
1954-07-01,4.6,-0.29695619896066283,5.8
1954-10-01,8.1,-0.33569563595673424,5.7
1955-01-01,11.9,0.0,4.9
1955-04-01,6.7,0.0,4.7
1955-07-01,5.5,0.18719580681392234,4.0
1955-10-01,2.4,-0.11173184357542443,4.3
1956-01-01,-1.5,-0.14886490509863348,4.0
1956-04-01,3.3,0.14875418371140814,4.0
1956-07-01,-0.3,0.5156537753222779,4.4
1956-10-01,6.8,0.5850091407678226,3.9
1957-01-01,2.6,0.1447701773434673,4.2
1957-04-01,-0.9,0.2512562814070307,3.9
1957-07-01,4.0,0.28459622909997595,4.2
1957-10-01,-4.1,0.0,4.5
1958-01-01,-10.0,0.5971197752019819,5.8
1958-04-01,2.7,0.24246622791825878,7.4
1958-07-01,9.6,-0.06918021445866396,7.5
1958-10-01,9.7,0.0,6.7
1959-01-01,7.9,0.1380738695202055,6.0
1959-04-01,9.3,0.034518467380051376,5.2
1959-07-01,0.3,0.13740982480248132,5.1
1959-10-01,1.1,0.34188034188034067,5.7
1960-01-01,9.3,-0.13600816048963127,5.2
1960-04-01,-2.1,0.44202652159128775,5.2
1960-07-01,2.0,-0.20263424518742745,5.5
1960-10-01,-5.0,0.47281323877068626,6.1
1961-01-01,2.7,0.10063737001007045,6.6
1961-04-01,7.0,-0.10053619302949901,7.0
1961-07-01,7.9,0.2680965147453085,7.0
1961-10-01,8.1,0.0,6.5
1962-01-01,7.3,0.09996667777407708,5.8
1962-04-01,3.7,0.13258203513424327,5.6
1962-07-01,5.0,0.033101621979469975,5.4
1962-10-01,1.3,-0.13149243918475495,5.4
1963-01-01,4.4,0.19749835418039208,5.7
1963-04-01,4.6,-0.0983284169124965,5.7
1963-07-01,9.1,0.2613524991832872,5.6
1963-10-01,2.6,0.09765625,5.5
1964-01-01,8.7,0.19430051813471572,5.6
1964-04-01,4.4,0.03232062055591456,5.3
1964-07-01,6.4,0.032247662044504466,4.9
1964-10-01,1.2,0.12870012870014325,5.1
1965-01-01,10.0,0.09600000000000719,4.9
1965-04-01,5.2,0.2235707441711865,4.8
1965-07-01,9.2,-0.0949066751028238,4.4
1965-10-01,9.5,0.0948766603415585,4.2
1966-01-01,10.1,0.09419152276295417,4.0
1966-04-01,1.4,0.3107520198881275,3.8
1966-07-01,3.4,0.21618282890674134,3.8
1966-10-01,3.3,0.3053435114503955,3.7
1967-01-01,3.6,-0.060753341433783525,3.9
1967-04-01,0.2,0.3030303030303161,3.8
1967-07-01,3.8,0.30030030030030463,3.8
1967-10-01,3.1,0.29761904761904656,4.0
1968-01-01,8.4,0.2941176470588225,3.7
1968-04-01,6.9,0.291545189504383,3.5
1968-07-01,3.1,0.5763688760806795,3.7
1968-10-01,1.6,0.5698005698005604,3.4
1969-01-01,6.4,0.2808988764045006,3.4
1969-04-01,1.2,0.5540166204986097,3.4
1969-07-01,2.7,0.5464480874316724,3.5
1969-10-01,-1.9,0.5390835579514697,3.7
1970-01-01,-0.6,0.5305039787798282,3.9
1970-04-01,0.6,0.5221932114882533,4.6
1970-07-01,3.7,0.2577319587628857,5.0
1970-10-01,-4.2,0.5102040816326481,5.5
1971-01-01,11.3,0.2512562814070307,5.9
1971-04-01,2.2,0.24999999999999467,5.9
1971-07-01,3.3,0.24691358024691024,6.0
1971-10-01,0.9,0.2450980392156854,5.8
1972-01-01,7.6,0.24330900243310083,5.8
1972-04-01,9.4,0.24154589371980784,5.7
1972-07-01,3.8,0.23980815347719453,5.6
1972-10-01,6.9,0.23752969121140222,5.6
1973-01-01,10.3,0.47058823529413374,4.9
1973-04-01,4.4,0.691244239631339,5.0
1973-07-01,-2.1,0.0,4.8
1973-10-01,3.9,0.8849557522123908,4.6
1974-01-01,-3.4,1.0799136069114423,5.1
1974-04-01,1.0,0.6276150627615218,5.1
1974-07-01,-3.7,0.6122448979591688,5.5
1974-10-01,-1.5,0.7905138339920903,6.0
1975-01-01,-4.8,0.7707129094412402,8.1
1975-04-01,2.9,0.37878787878788955,8.8
1975-07-01,7.0,0.9345794392523255,8.6
1975-10-01,5.5,0.5494505494505475,8.4
1976-01-01,9.3,0.3597122302158251,7.9
1976-04-01,3.0,0.17857142857142794,7.7
1976-07-01,2.2,0.5291005291005346,7.8
1976-10-01,2.9,0.5208333333333259,7.7
1977-01-01,4.8,0.5136986301369939,7.5
1977-04-01,8.0,0.6711409395973034,7.2
1977-07-01,7.4,0.49586776859502635,6.9
1977-10-01,0.0,0.4893964110930016,6.8
1978-01-01,1.3,0.6420545746388617,6.4
1978-04-01,16.4,0.7886435331230235,6.1
1978-07-01,4.1,0.7692307692307665,6.2
1978-10-01,5.5,0.9022556390977376,5.8
1979-01-01,0.7,0.8836524300441795,5.9
1979-04-01,0.4,1.0014306151645114,5.8
1979-07-01,3.0,1.1080332409972193,5.7
1979-10-01,1.0,1.0752688172043001,6.0
1980-01-01,1.3,1.4304291287386084,6.3
1980-04-01,-8.0,0.998751560549338,6.9
1980-07-01,-0.5,0.12121212121212199,7.8
1980-10-01,7.7,0.9535160905840279,7.5
1981-01-01,8.1,0.92592592592593,7.5
1981-04-01,-2.9,0.5643340857787837,7.2
1981-07-01,4.9,1.104972375690605,7.2
1981-10-01,-4.3,0.3222341568206444,7.9
1982-01-01,-6.1,0.31880977683316214,8.6
1982-04-01,1.8,0.31678986272438703,9.3
1982-07-01,-1.5,0.5154639175257714,9.8
1982-10-01,0.2,0.4094165813715467,10.4
1983-01-01,5.4,0.20470829068577334,10.4
1983-04-01,9.4,0.7135575942915473,10.2
1983-07-01,8.2,0.4024144869215096,9.4
1983-10-01,8.6,0.3984063745019917,8.8
1984-01-01,8.1,0.6903353057199135,8.0
1984-04-01,7.1,0.38872691933915515,7.7
1984-07-01,3.9,0.38572806171648377,7.5
1984-10-01,3.3,0.3820439350525229,7.4
1985-01-01,3.9,0.18957345971564177,7.3
1985-04-01,3.6,0.18726591760300781,7.3
1985-07-01,6.3,0.18604651162790198,7.4
1985-10-01,3.0,0.37002775208141436,7.1
1986-01-01,3.8,0.36529680365298134,6.7
1986-04-01,1.8,-0.36663611365719273,7.1
1986-07-01,3.9,0.0914076782449591,7.0
1986-10-01,2.2,0.1818181818181941,7.0
1987-01-01,3.0,0.5415162454873723,6.6
1987-04-01,4.4,0.4456327985739694,6.3
1987-07-01,3.5,0.2643171806167466,6.1
1987-10-01,7.0,0.2615518744550904,6.0
1988-01-01,2.1,0.34602076124568004,5.7
1988-04-01,5.4,0.6008583690987113,5.4
1988-07-01,2.4,0.4237288135593209,5.4
